Time,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
864000.0,6.624832,6.624832,9.604387,12.548685,15.111879,17.225355,18.863964,20.074982,20.930119,21.532207,21.941004,22.238655,22.451920,22.624813,22.761606,22.881113,22.985176,23.077139,23.162870,23.237930,23.313261,23.375746,23.438433,23.489056,23.539440,23.580269,23.620815,23.650766,23.670761,23.686945,23.692469,23.700747,23.704895,23.704147,23.678505,23.647078,23.569454,23.501389,23.433619,23.367327,23.392941,23.371500,23.491077,23.517210,23.650366,23.688215,23.747116,23.757278,23.713739,23.690428,23.586552,23.552589,23.444973,23.417896,23.333567,23.318859,23.263939,23.263241,23.239769,23.252861,23.259937,23.284178,23.316078,23.347670,23.395426,23.430738,23.486046,23.520805,23.575254,23.605751,23.652218,23.675976,23.710350,23.726509,23.747057,23.755775,23.761642,23.761660,23.749804,23.737955,23.704617,23.677156,23.622707,23.578203,23.511156,23.454197,23.392221,23.334511,23.298937,23.255068,23.262699,23.244350,23.300350,23.310877,23.405905,23.438906,23.550783,23.590403,23.690796,23.499403,15.018785,15.018785
865800.0,6.630873,6.630873,9.614407,12.560186,15.124883,17.239534,18.878931,20.090391,20.945786,21.547886,21.956629,22.254145,22.467268,22.639980,22.776661,22.896023,22.999985,23.091845,23.177498,23.252491,23.327768,23.390211,23.452848,23.503429,23.553812,23.594620,23.635168,23.665094,23.685076,23.701231,23.706770,23.715025,23.719152,23.718367,23.692623,23.661110,23.583401,23.515270,23.447426,23.381214,23.406559,23.385334,23.504337,23.530701,23.663185,23.701147,23.759634,23.769802,23.726269,23.702845,23.599272,23.565157,23.457930,23.430710,23.346739,23.331932,23.277313,23.276541,23.253321,23.266386,23.273670,23.297920,23.329971,23.361609,23.409464,23.444809,23.500158,23.534983,23.589437,23.619987,23.666447,23.690245,23.724604,23.740782,23.761339,23.770063,23.775944,23.775953,23.764116,23.752249,23.718906,23.691391,23.636892,23.592318,23.525150,23.468134,23.405952,23.348223,23.312376,23.268549,23.275850,23.257603,23.313295,23.323959,23.418762,23.451889,23.563650,23.603382,23.703667,23.513397,15.003627,15.003627
867600.0,6.636907,6.636907,9.623505,12.571028,15.137436,17.253414,18.893761,20.105764,20.961477,21.563639,21.972326,22.269726,22.482674,22.655214,22.791740,22.910959,23.014786,23.106548,23.192101,23.267035,23.342239,23.404646,23.467201,23.517759,23.568106,23.608906,23.649414,23.679329,23.699257,23.715387,23.720900,23.729136,23.733236,23.732431,23.706614,23.675022,23.597273,23.529087,23.461226,23.395071,23.420200,23.399164,23.517643,23.544230,23.676109,23.714191,23.772352,23.782537,23.739120,23.715612,23.612448,23.578201,23.471457,23.444105,23.360538,23.345648,23.291302,23.290457,23.267391,23.280428,23.287786,23.312042,23.344120,23.375790,23.423632,23.459026,23.514378,23.549259,23.603714,23.634315,23.680769,23.704605,23.738947,23.755146,23.775698,23.784431,23.790300,23.790298,23.778450,23.766567,23.733204,23.705637,23.651108,23.606470,23.539255,23.482185,23.419947,23.362181,23.326262,23.282438,23.289576,23.271364,23.326788,23.337521,23.431950,23.465136,23.576504,23.616302,23.716244,23.527370,15.002678,15.002678
869400.0,6.642941,6.642941,9.646528,12.593470,15.160359,17.275850,18.915724,20.126694,20.981764,21.583059,21.991247,22.288076,22.500385,22.672543,22.808767,22.927729,23.031080,23.122671,23.207991,23.282831,23.357973,23.420305,23.482533,23.533022,23.583557,23.624283,23.664845,23.694607,23.714239,23.730219,23.736221,23.744366,23.748596,23.747526,23.720743,23.688658,23.611193,23.542887,23.476152,23.410725,23.432392,23.412649,23.520245,23.547888,23.666534,23.705004,23.755743,23.766083,23.724401,23.701088,23.605902,23.571821,23.474470,23.447140,23.371193,23.356213,23.306721,23.305738,23.285097,23.298027,23.306166,23.330366,23.362354,23.394022,23.441437,23.476860,23.531788,23.566706,23.620848,23.651485,23.697754,23.721579,23.755852,23.772018,23.792604,23.801266,23.807272,23.807150,23.795542,23.783487,23.750454,23.722660,23.668505,23.623625,23.556847,23.499592,23.437601,23.379799,23.343143,23.299522,23.303715,23.285929,23.335312,23.346632,23.432251,23.466017,23.567686,23.608019,23.699640,23.541321,15.002358,15.002358
871200.0,6.648967,6.648967,9.668665,12.615109,15.182324,17.297285,18.936733,20.146708,21.001429,21.601927,22.009878,22.306135,22.518066,22.689859,22.825911,22.944618,23.047489,23.138918,23.224045,23.298790,23.373785,23.436041,23.497883,23.548309,23.599020,23.639673,23.680107,23.709705,23.729012,23.744856,23.751438,23.759497,23.763794,23.762455,23.734915,23.702368,23.625834,23.557404,23.492109,23.427315,23.445040,23.426414,23.522547,23.551077,23.656588,23.695387,23.739309,23.749836,23.710306,23.687244,23.599983,23.566111,23.477814,23.450558,23.381929,23.366909,23.322191,23.321115,23.302950,23.315796,23.324795,23.348946,23.380877,23.412516,23.459511,23.494946,23.549444,23.584396,23.638241,23.668901,23.715014,23.738825,23.773039,23.789169,23.809759,23.818348,23.824436,23.824196,23.812756,23.800535,23.767769,23.739773,23.686033,23.640924,23.574799,23.517359,23.455952,23.398090,23.360954,23.317497,23.318737,23.301317,23.344379,23.356215,23.432629,23.466915,23.558554,23.599392,23.682518,23.555250,15.002357,15.002357
873000.0,6.654981,6.654981,9.709205,12.651256,15.215612,17.326900,18.963299,20.170017,21.023745,21.622265,22.030228,22.325386,22.537582,22.708769,22.845140,22.963463,23.065687,23.156876,23.241894,23.316517,23.390909,23.453047,23.514122,23.564447,23.615517,23.656034,23.695816,23.725119,23.744171,23.759760,23.768036,23.775915,23.780195,23.778284,23.750059,23.716581,23.643763,23.575111,23.512499,23.448948,23.455812,23.439270,23.509945,23.540020,23.619617,23.658976,23.691338,23.702168,23.668301,23.645739,23.573883,23.540501,23.468830,23.441851,23.386669,23.371696,23.336273,23.335123,23.322556,23.335281,23.346989,23.371042,23.403667,23.435238,23.481777,23.517195,23.570833,23.605791,23.658842,23.689505,23.735039,23.758825,23.792704,23.808744,23.829245,23.837683,23.843967,23.843494,23.832506,23.819971,23.787926,23.759546,23.707024,23.661488,23.597073,23.539301,23.479034,23.421097,23.382195,23.339031,23.333117,23.316360,23.345938,23.358673,23.417040,23.452234,23.525320,23.567039,23.634941,23.569155,15.002357,15.002357
874800.0,6.660983,6.660983,9.749624,12.686900,15.246824,17.353701,18.986288,20.189470,21.042830,21.639368,22.048342,22.342461,22.556473,22.727093,22.864622,22.982573,23.084690,23.175640,23.260735,23.335217,23.408403,23.470400,23.530645,23.580875,23.631927,23.672306,23.710829,23.739866,23.759321,23.774698,23.785101,23.792803,23.796984,23.794523,23.767385,23.733068,23.666298,23.597385,23.536436,23.473785,23.466122,23.451096,23.494537,23.525675,23.581329,23.621099,23.645014,23.656176,23.629007,23.606981,23.548923,23.516052,23.458372,23.431725,23.388090,23.373266,23.346836,23.345715,23.339809,23.352470,23.368511,23.392477,23.427147,23.458643,23.505424,23.540792,23.593636,23.628567,23.680561,23.711182,23.755793,23.779535,23.812801,23.828753,23.849066,23.857347,23.863892,23.863199,23.852850,23.840010,23.809135,23.780380,23.729876,23.683908,23.621984,23.563852,23.504715,23.446617,23.404730,23.361731,23.346773,23.330498,23.345310,23.358725,23.399378,23.435282,23.491648,23.534119,23.589016,23.583036,15.002357,15.002357
876600.0,6.666975,6.666975,9.800344,12.730873,15.282746,17.382685,19.008612,20.206657,21.058683,21.652542,22.062948,22.355810,22.573557,22.743551,22.883579,23.001125,23.104614,23.195312,23.280878,23.355188,23.426449,23.488276,23.547682,23.597797,23.648060,23.688242,23.725229,23.753979,23.775621,23.790781,23.804171,23.811646,23.816000,23.812897,23.789865,23.754606,23.696341,23.627018,23.563719,23.501755,23.470951,23.457109,23.467403,23.499338,23.531260,23.571377,23.590521,23.602077,23.584583,23.563150,23.519356,23.487057,23.442122,23.415905,23.382647,23.368109,23.350855,23.349888,23.352468,23.365154,23.388327,23.412222,23.451635,23.483049,23.531757,23.567043,23.619507,23.654379,23.704708,23.735264,23.777948,23.801626,23.833525,23.849367,23.869299,23.877409,23.884527,23.883585,23.874691,23.861500,23.833208,23.803989,23.757126,23.710632,23.651781,23.593170,23.533476,23.475132,23.426245,23.383341,23.354601,23.338749,23.335516,23.349531,23.371868,23.408436,23.449738,23.492947,23.537046,23.596895,15.002357,15.002357
878400.0,6.672952,6.672952,9.853865,12.777811,15.319484,17.411350,19.028852,20.221102,21.070160,21.661087,22.072756,22.364367,22.586824,22.756254,22.900000,23.017204,23.124275,23.214746,23.301344,23.375458,23.445101,23.506746,23.565670,23.615644,23.664124,23.704090,23.740379,23.768887,23.794630,23.809597,23.825756,23.832985,23.838366,23.834681,23.818830,23.782688,23.731995,23.662043,23.589479,23.527597,23.467949,23.454571,23.433178,23.465490,23.480259,23.520670,23.540779,23.552767,23.546291,23.525421,23.493303,23.461542,23.425089,23.399330,23.372519,23.358351,23.347969,23.347258,23.358152,23.370966,23.403017,23.426922,23.473906,23.505260,23.558636,23.593834,23.647589,23.682346,23.731308,23.761763,23.802029,23.825607,23.855635,23.871342,23.890768,23.898697,23.906750,23.905550,23.899113,23.885563,23.861311,23.831591,23.789162,23.742065,23.684956,23.625774,23.561699,23.502979,23.442427,23.399469,23.353991,23.338398,23.317682,23.332150,23.340178,23.377298,23.409222,23.453054,23.491430,23.610733,15.002357,15.002357
880200.0,6.678926,6.678926,9.924772,12.841464,15.368620,17.448877,19.053495,20.237383,21.078253,21.664927,22.075127,22.365067,22.590260,22.759043,22.906794,23.023722,23.137434,23.227736,23.317894,23.391827,23.464682,23.526142,23.588625,23.638376,23.686720,23.726377,23.765808,23.793997,23.825632,23.840254,23.856365,23.863203,23.869751,23.865425,23.859064,23.821781,23.772421,23.701225,23.604288,23.541683,23.441357,23.427824,23.374344,23.406855,23.412651,23.453510,23.483797,23.496380,23.506145,23.485893,23.465902,23.434679,23.403778,23.378529,23.353739,23.340096,23.332428,23.332197,23.349066,23.362255,23.403698,23.427807,23.485939,23.517368,23.581104,23.616259,23.677408,23.712030,23.764772,23.795042,23.836565,23.859903,23.890245,23.905647,23.925449,23.932995,23.942188,23.940504,23.936571,23.922396,23.901344,23.870840,23.829206,23.781258,23.718405,23.658434,23.580181,23.520952,23.440214,23.397146,23.330954,23.315639,23.279022,23.294006,23.293526,23.331282,23.361111,23.405552,23.444065,23.624548,15.002357,15.002357
