Time,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
864000.0,27.620749,27.620749,0.009962,3.461488,35.000000,26.912682,0.009975,0.009972,35.000000,33.863659,0.009985,0.009995,35.000000,35.000000,0.009995,5.620600,35.000000,33.992287,0.009995,0.009995,35.000000,35.000000,0.009996,0.009995,34.126987,35.000000,0.009994,8.735580,34.750607,27.000267,4.942692,0.289822,31.527153,35.000000,0.009994,14.796612,34.539101,18.970694,12.353169,7.047390,23.697187,35.000000,7.526641,19.420670,20.825314,22.720776,14.785473,22.991007,16.418434,17.210096,20.714201,24.352238,11.960340,8.567452,23.965586,26.661207,9.248132,9.279740,27.670614,31.030954,7.288855,4.963788,28.231991,26.924765,6.993897,6.004252,29.484581,29.876448,3.167349,1.798792,33.339474,33.590145,1.670522,2.146904,33.339378,33.849300,1.670521,1.258111,33.335567,33.304134,1.670520,1.310776,35.000000,34.264435,0.009996,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009995,33.840042,0.090806,0.200000,0.200000
865800.0,27.621170,27.621170,0.009964,0.009966,35.000000,35.000000,0.009967,0.009970,35.000000,35.000000,0.009983,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009997,0.009995,35.000000,35.000000,0.009994,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,3.601274,35.000000,35.000000,0.009996,0.009995,35.000000,29.430012,1.710160,0.009995,33.687050,35.000000,0.253843,16.009903,35.000000,26.103899,10.674947,6.098990,22.040451,18.293394,13.870808,15.667992,17.574316,17.615511,18.317951,21.309650,15.983671,18.123516,17.736477,25.713053,16.822309,12.667743,22.035286,22.173004,13.182250,9.698332,22.644918,20.249969,12.844585,20.061483,21.513298,25.555498,10.721041,14.693540,23.313368,25.974316,11.302124,16.939852,22.879696,25.967112,11.260949,20.426735,23.970234,0.090753,0.200000,0.200000
867600.0,27.621559,27.621559,5.980648,6.724130,32.914646,30.770758,1.520526,2.206487,35.000000,30.501587,0.009983,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009995,6.210328,35.000000,35.000000,0.009996,0.009995,35.000000,26.366835,1.444781,0.009995,35.000000,35.000000,0.009995,7.782344,35.000000,35.000000,0.009995,4.174528,35.000000,35.000000,0.009995,6.891101,35.000000,35.000000,0.009996,0.090741,0.200000,0.200000
869400.0,27.621614,27.621614,33.518223,35.000000,5.916822,18.202606,20.198317,30.061007,16.176094,24.567295,12.925624,12.459330,24.664480,23.520828,8.292065,9.995049,25.768723,28.704714,9.303562,5.975554,26.518167,24.445442,8.850513,13.749982,25.165184,29.628889,9.384147,6.511759,32.903046,29.967806,1.517475,1.987714,33.339474,33.361500,1.670469,1.731186,31.488083,35.000000,1.668878,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,34.556450,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009997,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.090741,0.200000,0.200000
871200.0,27.621418,27.621418,35.000000,35.000000,0.009964,0.009978,35.000000,35.000000,0.009969,9.735170,35.000000,35.000000,0.009996,0.009995,29.836418,32.687584,1.047786,9.076498,35.000000,23.701321,6.379063,0.009994,30.882940,35.000000,0.009993,17.348713,26.224436,15.099295,29.639723,29.633987,3.217319,3.685114,31.604473,31.414814,3.385125,1.710768,33.339474,33.886147,1.670521,2.055441,33.292671,33.132828,1.670466,2.160045,31.822191,35.000000,1.540551,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009996,32.906216,35.000000,1.670856,0.090740,0.200000,0.200000
873000.0,27.621216,27.621216,35.000000,35.000000,0.009955,0.009981,35.000000,35.000000,0.009977,0.009989,35.000000,35.000000,0.009995,0.009994,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009994,8.378737,23.194288,27.165678,9.118318,9.295560,24.736862,20.894987,12.682412,19.508482,24.570595,33.245907,9.520402,9.625009,21.398453,26.779131,9.948283,19.242201,24.762484,14.429383,16.829376,11.242226,18.838802,25.052382,13.491872,20.336466,21.350962,18.603277,20.863827,23.040550,9.785889,9.709363,27.225487,25.802149,5.663146,6.067483,31.283241,31.822271,3.309796,5.245762,33.137817,31.673553,1.549589,1.380435,33.339478,33.401459,1.670523,1.321649,33.339478,32.955128,1.669427,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.090738,0.200000,0.200000
874800.0,27.621027,27.621027,35.000000,35.000000,0.009961,0.009981,35.000000,35.000000,0.009978,0.009990,35.000000,35.000000,0.009996,0.009994,35.000000,35.000000,0.009995,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009994,1.957810,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009994,5.491798,34.950066,34.099625,1.823194,2.064068,25.422869,35.000000,5.147872,18.884436,27.155201,35.000000,5.796350,21.063581,13.715115,10.088867,28.692205,31.521051,5.837037,5.436635,25.096361,32.406456,3.447453,2.113878,35.000000,32.954906,0.009995,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,1.390795,31.545832,32.340073,3.477034,0.090737,0.200000,0.200000
876600.0,27.620846,27.620846,27.035954,33.428356,3.440380,2.082321,31.671965,30.800676,3.378346,2.136380,31.664007,30.208574,3.363846,4.864984,31.548063,33.187096,3.435046,2.258052,31.661510,30.206377,3.363855,4.281217,30.562695,34.001488,3.473577,1.062770,35.000000,34.145611,0.009996,0.009995,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009995,0.009997,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.587622,35.000000,35.000000,0.009995,8.775718,22.024721,26.997732,24.675083,33.838951,6.895825,7.905678,27.880753,35.000000,0.429818,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,0.009997,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.477217,29.590755,35.000000,3.477039,0.090735,0.200000,0.200000
878400.0,27.621105,27.621105,0.148707,19.541895,28.196682,17.266726,21.191645,15.596651,10.874329,4.163138,28.290325,25.645695,6.878574,10.510406,27.516727,30.992798,7.293015,4.940656,28.217026,26.947445,6.977726,11.005060,27.462334,30.849813,7.283094,4.939856,29.661491,28.589035,5.049774,6.615419,29.687660,29.146917,5.166149,8.229881,31.035360,30.739361,3.158100,2.631638,30.821617,33.570614,1.617767,0.009995,35.000000,35.000000,0.009994,0.009996,35.000000,35.000000,0.009996,0.009995,34.514973,35.000000,1.670521,1.830867,33.339474,33.737244,1.668814,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009997,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.928499,21.216553,20.496031,19.680182,12.599029,28.124903,8.827152,8.061906,29.208487,28.850733,5.001284,7.598248,29.837460,31.893887,3.242330,1.389196,33.339478,33.259869,1.670523,1.708019,33.339474,33.126957,1.670523,1.385687,31.518919,34.112373,1.664693,0.090733,0.200000,0.200000
880200.0,27.621555,27.621555,0.009973,0.009965,35.000000,35.000000,0.009965,0.009973,30.540007,15.112621,10.672357,1.042852,27.529802,35.000000,0.009994,10.968195,34.470097,19.694693,9.104428,4.985427,29.401134,35.000000,0.009994,12.110445,34.621117,22.841236,8.978513,5.375567,26.168436,35.000000,6.365091,9.374234,18.986027,35.000000,9.432919,22.553654,18.718739,15.758085,23.424280,25.387024,5.419564,0.009995,35.000000,34.070602,0.009995,0.009997,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,0.009996,35.000000,35.000000,0.009995,0.009996,35.000000,35.000000,0.009995,0.009995,35.000000,35.000000,0.009996,0.009997,35.000000,35.000000,0.009996,0.009996,35.000000,35.000000,0.009996,0.009995,35.000000,35.000000,0.009994,4.964580,34.741379,35.000000,3.364213,7.435084,26.760214,35.000000,2.087849,18.274435,26.958961,21.518347,13.199231,10.917666,22.063387,23.060925,12.342456,8.522298,21.109529,14.521119,21.509987,17.277569,10.439171,0.090724,0.200000,0.200000
