Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
12/6/2017,Ngã Bảy,2,Low tide,12,29.7,249,21.1,4.99,0.022,0.011,3.876
3/16/2018,Đồng Tranh,2,Low tide,3,29.1,67,24.3,5,0,0.06,4.268
7/25/2017,Ngã Bảy,2,Low tide,7,28,331,19.08,5.01,0,0.069,4.002
9/22/2017,Ngã Bảy,2,Low tide,9,29.8,81,17.59,5.11,0.019,0.022,3.876
11/11/2017,Ngã Bảy,2,High tide,11,28.2,68,25.4,5.11,0,0.03,3.666
5/15/2018,Đồng Tranh,2,Low tide,5,28.1,231,18.42,5.12,0,0.06,3.302
10/9/2017,Ngã Bảy,2,High tide,10,29.1,109,21.7,5.14,0.001,0.051,3.638
12/11/2018,Đồng Tranh,2,High tide,12,29.9,54,,5.16,0.19,0.07,4.128
12/11/2018,Đồng Tranh,2,Low tide,12,29.8,57,,5.19,0.68,0.06,4.352
6/26/2017,Ngã Bảy,2,Low tide,6,29.5,130,17.35,5.27,0.009,0.029,3.932
7/25/2017,Ngã Bảy,2,High tide,7,29.5,159,24.31,5.3,0,0.055,3.918
4/15/2018,Đồng Tranh,2,High tide,4,28.8,162,25.1,5.43,0,0.03,3.764
3/16/2018,Đồng Tranh,2,High tide,3,29.9,78,25.1,5.52,0,0.04,4.436
2/14/2018,Đồng Tranh,2,Low tide,2,29.7,146,22.35,5.55,0,0.01,3.89
12/6/2017,Ngã Bảy,2,High tide,12,29.7,54,26.1,5.56,0.016,0.011,4.212
9/22/2017,Ngã Bảy,2,High tide,9,29,178,22.8,5.59,0.144,0.017,4.17
11/11/2018,Đồng Tranh,2,High tide,11,29.1,42,,5.63,0,0.11,4.87
1/15/2018,Đồng Tranh,2,Low tide,1,29.1,95,21.5,5.68,0.04,0.03,3.862
1/15/2018,Đồng Tranh,2,High tide,1,28,6,19.75,5.75,0.14,0.08,3.554
5/29/2017,Ngã Bảy,2,High tide,5,29.6,219,22.9,5.79,0.009,0.086,4.128
8/24/2017,Ngã Bảy,2,High tide,8,29,129,22.7,5.84,0.012,0.026,3.792
2/14/2018,Đồng Tranh,2,High tide,2,29.4,61,19.98,5.84,0,0.02,3.904
4/15/2018,Đồng Tranh,2,Low tide,4,29.1,157,22.1,5.86,0,0.03,3.89
10/12/2018,Đồng Tranh,2,High tide,10,29,53,22.5,5.9,0.06,0.02,4.016
10/12/2018,Đồng Tranh,2,Low tide,10,28.3,128,17.1,5.93,0.05,0.03,4.184
3/27/2017,Ngã Bảy,2,Low tide,3,29.6,418,26.6,6.08,0.038,0.063,3.554
3/27/2017,Ngã Bảy,2,High tide,3,29,202,26.9,6.39,0.195,0.021,3.764
6/26/2017,Ngã Bảy,2,High tide,6,29.6,243,23.9,6.42,0.012,0.033,4.296
4/28/2017,Ngã Bảy,2,Low tide,4,28.4,330,19.84,6.71,0.11,0.06,3.764
4/28/2017,Ngã Bảy,2,High tide,4,29,368,23.8,7.04,0.039,0.02,3.54
